Id,SalePrice
1461,88785.625
1462,97134.0859375
1463,111199.109375
1464,116418.8125
1465,150170.140625
1466,115651.390625
1467,122666.5625
1468,114966.078125
1469,143150.75
1470,80412.40625
1471,151575.4375
1472,71082.1015625
1473,67458.6640625
1474,105047.8203125
1475,103011.984375
1476,216030.828125
1477,182663.21875
1478,216229.53125
1479,193561.640625
1480,232016.484375
1481,192717.296875
1482,169395.796875
1483,125423.7578125
1484,132874.859375
1485,112992.4765625
1486,127705.921875
1487,192950.3125
1488,191530.390625
1489,152807.96875
1490,139024.484375
1491,120910.2265625
1492,70789.515625
1493,133479.03125
1494,174270.359375
1495,179025.5
1496,155733.0
1497,125721.109375
1498,110740.6640625
1499,111425.0078125
1500,100825.328125
1501,108340.234375
1502,104973.9140625
1503,204823.75
1504,150850.359375
1505,159640.46875
1506,108333.4140625
1507,133342.640625
1508,125535.046875
1509,87956.09375
1510,97098.2421875
1511,96975.2578125
1512,101760.21875
1513,76524.4921875
1514,107406.125
1515,119639.5546875
1516,87767.5625
1517,116220.6875
1518,98907.6328125
1519,154716.90625
1520,89802.6484375
1521,91248.5078125
1522,112947.65625
1523,73506.6796875
1524,74069.28125
1525,79898.109375
1526,80866.6015625
1527,77711.1171875
1528,94524.6015625
1529,96116.859375
1530,123762.890625
1531,62403.05078125
1532,67853.0234375
1533,98484.265625
1534,92740.546875
1535,100882.6484375
1536,71603.9453125
1537,63947.01953125
1538,106520.703125
1539,108091.0
1540,58563.56640625
1541,96626.578125
1542,89742.8046875
1543,120034.296875
1544,58728.50390625
1545,69524.5390625
1546,83120.4375
1547,79902.0703125
1548,75470.765625
1549,76062.546875
1550,79396.640625
1551,89310.7890625
1552,72064.7890625
1553,81963.6875
1554,81109.3515625
1555,102102.0078125
1556,62154.25
1557,67772.3125
1558,67796.1015625
1559,48340.546875
1560,76479.328125
1561,84667.4921875
1562,101847.40625
1563,82107.875
1564,122126.9375
1565,90541.7734375
1566,163864.625
1567,60326.3046875
1568,123149.1328125
1569,79791.65625
1570,98875.8515625
1571,79521.4453125
1572,103365.171875
1573,173467.828125
1574,96456.796875
1575,152586.328125
1576,124600.296875
1577,150847.34375
1578,83558.7578125
1579,106529.1328125
1580,132279.46875
1581,98911.96875
1582,87527.1640625
1583,215860.9375
1584,142298.015625
1585,108643.59375
1586,58723.91015625
1587,66297.140625
1588,90819.0234375
1589,68337.34375
1590,97802.6953125
1591,67240.796875
1592,99860.4453125
1593,88484.6171875
1594,59601.140625
1595,69345.9453125
1596,134682.390625
1597,97611.2109375
1598,105134.515625
1599,146834.078125
1600,163017.46875
1601,43678.12890625
1602,84406.4453125
1603,55058.0
1604,179834.375
1605,165793.203125
1606,117977.8515625
1607,123505.03125
1608,164940.953125
1609,147072.609375
1610,88798.75
1611,106873.1796875
1612,122541.921875
1613,132365.65625
1614,87126.578125
1615,57833.22265625
1616,57833.22265625
1617,60135.6015625
1618,93506.4375
1619,97341.53125
1620,116707.171875
1621,95858.34375
1622,82242.515625
1623,192553.984375
1624,134674.4375
1625,89789.890625
1626,121949.6796875
1627,117204.9609375
1628,151666.25
1629,113947.0234375
1630,202049.796875
1631,158627.15625
1632,164544.40625
1633,113324.640625
1634,116470.3359375
1635,112455.9375
1636,129938.125
1637,113313.078125
1638,121064.2578125
1639,125769.5546875
1640,128754.796875
1641,125354.875
1642,133414.75
1643,161071.25
1644,149297.21875
1645,122842.1640625
1646,117146.7421875
1647,132975.375
1648,97457.640625
1649,85406.3671875
1650,81289.7109375
1651,94150.5234375
1652,70989.421875
1653,71119.734375
1654,103670.3203125
1655,125125.7890625
1656,105484.3125
1657,104249.421875
1658,105483.8125
1659,102089.4453125
1660,110551.8828125
1661,223626.984375
1662,213095.765625
1663,240710.625
1664,232546.8125
1665,234637.5
1666,208526.1875
1667,183183.421875
1668,231609.046875
1669,203311.015625
1670,233637.15625
1671,166962.75
1672,232720.96875
1673,173249.265625
1674,192353.015625
1675,134011.921875
1676,137871.953125
1677,156598.734375
1678,232380.09375
1679,206527.671875
1680,224193.296875
1681,204769.84375
1682,195664.4375
1683,146648.65625
1684,125244.2265625
1685,113882.703125
1686,142330.171875
1687,113672.640625
1688,128571.96875
1689,127692.28125
1690,125759.0
1691,121421.3125
1692,151314.890625
1693,103380.15625
1694,114930.34375
1695,113609.1328125
1696,150743.375
1697,113608.9140625
1698,196326.125
1699,226952.640625
1700,144049.953125
1701,170583.9375
1702,190333.34375
1703,201367.296875
1704,202555.671875
1705,169417.453125
1706,243560.125
1707,153276.765625
1708,154882.984375
1709,215348.53125
1710,181125.953125
1711,156711.828125
1712,194897.53125
1713,171065.5
1714,147719.078125
1715,125143.9296875
1716,142172.671875
1717,134194.296875
1718,104669.0234375
1719,119420.6875
1720,172873.296875
1721,138495.421875
1722,97023.453125
1723,116418.59375
1724,160786.703125
1725,134726.96875
1726,107351.2421875
1727,124974.3359375
1728,120926.6015625
1729,99228.578125
1730,94476.9296875
1731,86450.453125
1732,88776.6484375
1733,86478.328125
1734,85818.9296875
1735,94322.8046875
1736,81914.2265625
1737,189319.390625
1738,136856.3125
1739,159970.421875
1740,154009.6875
1741,137643.890625
1742,108340.234375
1743,115724.5390625
1744,194497.015625
1745,134823.109375
1746,116943.5859375
1747,127737.46875
